country,state,city,station,last_update,pollutant_id,latitude,longitude,pollutant_min,pollutant_max,pollutant_avg,pollution_avg
India,Bihar,Gaya,"SFTI Kusdihra, Gaya - BSPCB",01-06-2026 17:00:00,NH3,24.762518,84.982348,3.0,6.0,4.0,3.96
India,Odisha,Bhubaneswar,"Lingraj Mandir, Bhubaneswar - OSPCB",01-06-2026 17:00:00,PM2.5,20.24079,85.836784,20.0,62.0,44.0,36.97039623908663
India,Maharashtra,Pimpri-Chinchwad,"Thergaon, Pimpri Chinchwad - MPCB",01-06-2026 17:00:00,PM10,18.616318,73.765797,76.0,113.0,88.0,91.37
India,Sikkim,Gangtok,"Zero Point GICI, Gangtok - SSPCB",01-06-2026 17:00:00,NH3,27.33853,88.614099,1.0,1.0,1.0,1.0
India,Rajasthan,Dungarpur,"Bhoiwada, Dungarpur - RSPCB",01-06-2026 17:00:00,PM10,23.837789,73.714926,34.0,127.0,73.0,68.61
India,Rajasthan,Jaipur,"RIICO Sitapura, Jaipur - RSPCB",01-06-2026 17:00:00,PM2.5,26.786682,75.827928,42.0,120.0,64.0,72.39
India,Maharashtra,Nashik,"Gangapur Road, Nashik - MPCB",01-06-2026 17:00:00,NO2,20.0073285,73.7762427,5.0,5.0,5.0,5.03
India,Delhi,Delhi,"Punjabi Bagh, Delhi - DPCC",01-06-2026 17:00:00,CO,28.674045,77.131023,22.0,137.0,38.0,58.39
India,West_Bengal,Durgapur,"PCBL Residential Complex, Durgapur - WBPCB",01-06-2026 17:00:00,OZONE,23.508764,87.35444,1.0,2.0,1.0,1.18
India,Gujarat,Mehsana,"Sadanand Nagar, Mehsana - Nexteng Enviro",01-06-2026 17:00:00,PM2.5,23.59315,72.372792,21.0,118.0,55.0,60.82
India,Maharashtra,Mumbai,"Deonar, Mumbai - IITM",01-06-2026 17:00:00,OZONE,19.04946,72.923,1.0,20.0,13.0,12.1
India,Maharashtra,Kolhapur,"Sinchan Bhavan, Kolhapur - MPCB",01-06-2026 17:00:00,OZONE,16.7143745,74.2426398,21.0,39.0,32.0,29.62
India,Delhi,Delhi,"Shadipur, Delhi - CPCB",01-06-2026 17:00:00,CO,28.6514781,77.1473105,28.0,54.0,40.0,35.91
India,Telangana,Hyderabad,"New Malakpet, Hyderabad - TSPCB",01-06-2026 17:00:00,PM10,17.37206,78.50864,63.0,80.0,69.0,69.31
India,Odisha,Rourkela,"Raghunathpali, Rourkela - OSPCB",01-06-2026 17:00:00,NH3,22.220833,84.809444,1.0,2.0,1.0,1.26
India,Karnataka,Bengaluru,"BTM Layout, Bengaluru - CPCB",01-06-2026 17:00:00,NH3,12.9135218,77.5950804,3.0,3.0,3.0,2.99
India,Uttar_Pradesh,Meerut,"Jai Bhim Nagar, Meerut - UPPCB",01-06-2026 17:00:00,NO2,28.9535882,77.7622941,10.0,14.0,12.0,11.98
India,Uttar_Pradesh,Varanasi,"Bhelupur, Varanasi - UPPCB",01-06-2026 17:00:00,OZONE,25.301778,82.996789,5.0,21.0,12.0,12.44
India,Punjab,Amritsar,"Golden Temple, Amritsar - PPCB",01-06-2026 17:00:00,CO,31.62,74.876512,10.0,18.0,13.0,13.68
India,Haryana,Narnaul,"Shastri Nagar, Narnaul - HSPCB",01-06-2026 17:00:00,NO2,28.060249,76.113115,23.0,27.0,25.0,25.17
